2874,54-0192
17142,80-8298
18960,88-0573
17297,64-9911
13268,77-5318
6921,88-8197
14399,67-1598
2411,94-8788
17288,57-2996
5865,60-2513
19952,82-9425
8349,53-2472
10156,50-5377
13397,63-4995
10533,89-9539
1563,66-8500
16825,44-4736
10433,59-6364
14923,75-2467
6782,79-9107
17502,86-1885
18175,43-6891
15454,99-3803
5905,92-6996
6641,68-1910
18763,57-4782
11784,59-6716
15558,44-1373
10386,58-7093
14237,69-0585
17054,77-0024
5927,52-7223
9443,50-7980
10713,45-9595
2509,94-0272
5204,80-0818
3490,86-4263
7024,89-6997
15817,95-4373
13677,88-4645
5056,64-3942
878,70-1738
1634,80-5583
9333,81-4232
2471,96-1597
19340,46-5500
16235,51-0944
5808,99-1243
4635,52-9315
13463,90-1684
5148,44-0455
11989,72-5606
11999,89-9559
9485,91-9284
11567,94-9987
15361,66-1805
11867,61-3691
2532,87-5627
9943,51-0530
2498,74-3329
14949,79-5367
3489,71-5342
2373,57-4017
9000,72-4065
8954,68-3316
19199,89-1473
13119,74-0396
19252,52-7608
9119,98-1686
15933,49-4357
3106,99-4145
13676,70-6286
7043,61-6841
18732,79-9449
5067,51-8182
19305,51-7352
3930,77-0814
11417,49-4971
6398,58-2354
19018,69-4109
11307,76-8606
5909,89-8527
12927,85-2223
14176,46-7396
4259,76-0860
17284,54-8873
11431,47-1251
3662,60-1937
12304,71-4284
10415,56-2068
19924,65-9814
15158,90-9862
4699,87-5051
4510,79-6141
16842,88-3397
4994,62-5268
3035,59-6581
5993,60-2464
17417,87-3919
2993,47-7736
8781,98-2246
6539,48-3366
6182,59-3606
2638,66-5549
12757,49-4895
9655,91-0576
3893,61-7451
19092,43-4289
5059,84-0627
10076,58-5164
3202,73-6025
1132,88-5151
13558,51-5590
16685,88-0554
12499,89-7582
15553,95-3499
10347,46-0480
17697,87-6353
5226,93-8846
637,95-0098
13334,85-2255
1481,57-1923
5691,75-3654
12833,56-4318
1874,95-9097
7964,95-6979
15957,89-0352
10044,62-2006
6297,96-2759
8594,54-3607
12704,72-5647
7943,99-1383
1044,55-4563
3816,73-3298
9615,99-5488
18375,51-1390
18809,83-8254
3678,68-9385
13099,91-6524
2079,87-4138
6231,65-2783
13372,91-2731
2738,53-1837
5434,63-0003
19840,94-0433
5271,58-2796
11813,94-7238
14725,69-1459
19593,58-0853
4385,91-3915
5278,54-8909
10136,92-8661
5826,50-3493
13612,92-7082
6014,92-0092
15678,79-7495
18765,73-3621
10120,81-0512
12446,53-7368
7603,78-2523
6309,83-5425
2419,74-3075
7491,62-9149
2596,47-2897
4742,77-7725
8341,85-9458
13381,95-0038
6071,77-5197
11354,66-9871
10922,81-5382
3279,88-4137
18781,60-1266
9802,65-3659
16323,69-3103
13483,61-5859
6893,85-1142
9398,69-5397
11802,45-3798
8680,94-6511
17613,59-0202
12545,64-6774
19165,43-2671
18471,76-4231
11120,96-6546
10327,76-3459
13379,61-8191
14964,50-9610
8514,80-7237
7339,43-8317
10350,59-1159
16398,84-1150
14017,73-4453
1903,73-6208
6442,94-5119
6917,55-2283
16465,90-4748
522,82-8024
6268,94-5973
6829,64-8238
8939,68-3130
2374,85-4016
8770,74-0197
6645,53-5234
2083,72-0148
10255,63-2529
14631,54-1432
10124,47-5590
17859,79-3362
12517,56-1953
6656,63-2445
745,48-5730
11963,66-3023
12647,97-0984
15597,53-5234
2895,68-9131
1864,83-8374
16759,49-1362
11355,47-0595
14866,99-6749
9405,95-6694
5610,92-2213
13715,58-9268
7234,80-7012
10819,54-9012
3233,74-7209
3708,50-0275
12933,47-7648
746,76-7463
5470,55-7195
11852,49-7690
16141,71-3330
2054,61-5297
4356,50-9722
11834,58-6665
4161,97-3500
10600,70-5308
17180,46-1002
4387,69-4742
2647,94-9868
18847,82-5471
5926,58-4126
6463,90-6569
668,58-0768
18569,59-5340
8119,43-5427
18717,78-5252
10886,82-8063
16095,86-9879
3558,54-0931
6272,83-0524
4842,74-0787
14300,82-0982
10120,83-7628
7078,91-2817
2697,64-6722
220,89-7902
6831,43-9788
5679,90-3012
8348,47-1344
15381,80-3807
787,95-8515
13341,68-8524
1847,89-1116
9339,88-4787
17960,54-7605
10734,81-7500
7781,91-1634
17021,82-5901
15082,49-3342
4015,80-6361
12885,92-8985
7520,61-2787
10421,80-0936
4896,98-5190
18604,94-4178
4584,98-7100
18411,74-4025
7049,84-4907
790,89-5169
2173,49-3393
12770,75-2854
13374,76-8165
5223,94-9665
19165,88-7946
15801,99-3850
4511,57-4247
16835,98-1527
12186,85-3606
6284,80-6759
1092,93-2096
15760,43-3544
4804,98-6586
2235,82-6232
11950,71-6652
18960,69-4740
4498,53-4723
7627,59-0083
7913,59-5343
17105,85-2689
5906,68-9950
13429,84-3500
15278,52-6872
14363,82-4244
12404,68-3961
9561,79-4904
17218,82-9776
4687,44-7785
5125,63-3196
9781,76-3181
17872,54-4395
9975,83-0848
15515,78-3634
18412,62-7959
13589,62-7932
1739,53-4306
7395,68-9173
7164,48-2076
8053,59-2751
5756,56-0725
18139,55-8415
2146,79-5217
13999,49-0972
13883,79-9041
14084,68-0806
2898,84-3006
11456,86-5574
1970,78-1488
17152,49-0336
15557,89-6001
17489,83-8960
16138,84-9018
9731,89-2801
16240,59-6713
8816,44-8967
13975,90-5599
10336,92-5919
5434,57-0785
13224,43-5100
11657,97-1384
1575,98-4997
12677,79-9964
16277,76-7814
18511,53-1246
13010,78-9735
12576,45-0689
8320,90-9724
19977,54-8006
11167,54-3159
11707,50-6049
19427,74-8472
9898,94-5855
12259,77-3962
17043,57-8200
17515,78-5688
19623,57-2105
9255,56-1822
5518,60-9181
3273,82-3597
5954,50-4620
19349,68-8867
6608,71-4067
1878,58-5372
1035,74-4541
3054,75-6930
7311,68-5859
13372,51-4918
6229,46-2481
9564,71-0153
19508,57-3375
10757,91-8451
19526,97-5368
13052,46-3651
13286,58-7937
9047,46-4873
7150,90-5055
15062,86-8357
2178,76-9684
12632,55-6220
19125,67-1324
8136,56-6714
14939,82-6773
18318,76-4569
11935,77-8008
17508,62-3604
605,79-3239
9759,81-1878
2211,76-4858
1460,85-4158
12467,95-2263
1481,55-0593
12984,66-7595
927,60-3216
14433,45-1199
8600,66-9861
10840,68-6565
16777,90-2018
664,57-0257
18378,72-7530
3438,59-3135
15315,61-8773
3251,59-1966
12731,84-2401
9102,85-3002
19403,84-9598
12751,97-7730
17538,98-4845
14647,69-8038
8721,64-6397
6722,46-8388
1030,76-4284
13828,71-0851
14069,45-4908
13636,75-8241
16761,94-2616
15799,47-7668
18098,92-3406
18683,98-8333
17451,86-5355
2680,85-4214
5271,82-8056
11422,69-6575
19992,65-0213
11301,71-3333
951,97-4233
17077,77-2415
3849,91-1253
5429,79-1681
14965,93-7590
16560,78-1905
3254,55-8362
13775,62-0732
11785,73-0661
4789,70-6006
14391,93-2318
8924,68-0055
8444,81-6209
13874,95-4140
3164,45-2679
2298,69-6659
15057,75-5861
4,62-3809
2482,80-9327
10164,46-9969
18383,76-2647
15572,85-2105
4970,86-6903
5977,53-1072
3874,95-1006
3825,74-1122
13073,54-1883
12663,87-1204
7581,65-5670
8984,67-8839
17038,88-9310
19136,61-8849
3341,75-6698
5471,94-0601
6663,48-1530
9332,50-1425
6423,91-0666
4634,88-4606
6740,63-6261
11840,80-2544
16368,62-1934
8636,56-0411
10898,90-5655
4576,66-0089
16159,50-7014
7226,72-5385
19050,62-3365
10509,69-1921
4241,98-6834
12147,62-2619
16936,60-1155
643,77-3947
9937,60-2824
13751,98-5469
8243,47-3625
9795,62-4322
9176,44-1753
15798,48-8215
8672,81-2379
8104,53-2231
2543,69-9745
12279,84-6559
2738,83-2665
17759,75-3407
16747,51-8981
16752,55-6313
8714,59-5769
7242,59-9747
17892,84-7584
6085,93-1046
2472,48-9619
1177,45-5038
12908,62-3701
468,85-4169
950,97-8297
4117,47-1016
146,49-6528
5987,55-4485
12130,95-7967
1612,84-4794
9174,57-8101
15747,61-7084
10792,81-7025
12673,61-6606
1406,43-3118
7183,77-7233
4143,97-2092
14641,69-9919
8062,55-8879
4441,54-5825
15737,93-3769
19396,86-6496
16543,85-4322
821,93-9204
66,51-8055
5110,83-6374
5924,49-9983
2240,97-2495
1396,55-5961
13918,75-1050
3981,80-0814
1856,49-6597
4401,85-1187
16822,67-9972
7712,59-3362
14578,43-0577
19413,98-0586
12777,83-0180
13197,99-9075
3957,89-1376
5399,54-4100
11740,60-3839
6032,77-2919
61,77-3711
14796,66-8739
4750,83-8231
10790,65-6008
8251,90-4751
3313,59-3224
10552,94-0175
12592,95-6376
13979,59-6199
15902,85-4327
3525,83-4982
10851,61-7648
18311,72-3809
10504,54-6743
18364,54-1101
4552,62-9271
8659,45-1034
1151,48-9619
14836,94-9005
17591,73-1728
10476,77-2122
10860,62-5349
7692,68-4019
5880,46-6250
8881,84-1571
10792,81-7102
2833,79-5763
14144,90-0723
5505,91-6538
3217,66-5904
8668,46-7599
12271,56-4873
9971,49-0976
19704,56-2640
12383,67-5923
10348,78-5788
6010,88-1283
11414,48-8225
4752,55-3562
18727,81-3741
5700,94-1398
10828,65-8195
2740,55-7664
18476,66-6415
1906,89-7344
1061,76-9166
8014,76-9716
4472,89-1613
16461,98-8439
6234,66-0480
14639,47-0303
17010,95-3626
13819,51-3279
16620,64-1074
15889,96-8932
18858,48-9373
2523,70-6757
5518,80-1888
4461,99-8567
15972,88-0992
5291,45-3849
11978,78-7365
815,79-1718
9139,69-2747
3418,87-8541
4982,68-3261
19854,81-3306
9472,69-4553
888,93-3768
15874,99-1019
16193,54-9262
15724,45-6839
10945,56-6557
13566,79-3208
8556,89-5029
9994,60-2876
5671,95-5661
8519,48-5231
5206,82-2467
9352,76-7458
14347,80-9172
19202,73-4559
6458,77-0343
8038,61-9529
35,53-0818
19751,71-9830
14111,99-6146
9956,65-6440
14379,74-6326
6604,65-0301
11263,74-8732
680,65-8808
15090,76-4668
15623,58-9748
19331,45-5938
1168,75-0123
16324,98-4399
17766,79-7055
14113,56-2231
17157,86-7061
8502,79-2310
12112,76-2139
12974,85-3334
17555,71-8138
13942,97-1732
16346,69-2244
7190,88-0383
16560,94-3509
5621,48-2969
12240,59-6220
1629,98-9080
7947,88-4532
11572,88-9002
2586,57-1449
2191,56-1537
13916,77-5274
12635,97-8411
1995,51-9462
14288,92-9931
15202,92-6424
18995,74-1901
19235,52-7572
10263,52-3607
17836,45-3250
12110,88-8095
7976,70-4929
13320,87-0831
11043,88-8343
2698,69-3262
15835,72-8046
18709,68-4432
6558,48-9860
15202,99-8123
17543,80-6528
5391,54-6874
10356,91-4521
16254,53-1505
10942,74-3079
16942,65-1603
7875,72-8253
3747,83-8674
19008,47-8724
4058,96-3694
18275,66-4908
12188,83-9514
19601,89-1153
117,94-4023
19602,67-9750
18721,89-8538
18499,47-0575
10466,93-3617
12830,98-3939
4578,63-7522
2840,74-9463
15796,78-2701
7049,86-1291
8806,59-5166
1862,60-0748
10165,86-5770
14466,75-8153
1815,81-9354
18492,81-0359
2046,49-3184
12956,68-3070
12072,75-8164
3059,65-4213
13338,48-1598
10403,87-4296
10731,70-0488
18480,96-0217
13383,58-7974
7928,50-9367
2289,58-9827
11423,88-6273
13330,55-5567
13726,62-8064
16591,49-0493
10661,44-5018
15367,99-2245
1464,53-1780
16201,64-6480
1972,76-8821
8425,79-4418
14851,96-5454
16988,91-3106
1135,50-7603
16735,82-5084
9774,50-0685
12313,66-9112
5706,80-6566
10736,97-9046
2673,92-5893
17219,82-4551
2767,44-1769
14072,94-2495
19372,96-3717
18905,45-2973
8609,93-3100
6835,52-4391
1676,61-8413
14581,52-8186
8821,87-8571
12548,62-4519
7462,70-6996
3014,76-7250
9108,87-2347
16956,91-8588
12187,47-8044
19089,74-7560
8996,54-5155
17105,81-7907
11588,59-0213
1763,55-6262
13245,71-0909
3966,95-4776
19610,54-0164
16870,67-5278
12287,63-8689
12586,44-3509
