2007-04-02,0615,PgjhJY,17
1942-02-26,0399,xUlxuI,16
1942-10-27,1207,wCLygU,3
1908-06-03,0403,OzNxoB,20
2008-06-31,0950,FjGZmL,20
1926-03-13,0263,PzqCQM,23
1958-01-17,0146,lsVwLJ,22
2001-07-13,0289,uVBMSJ,22
1969-01-12,0019,VzYKBA,6
1907-03-03,0038,TTgQAE,21
1983-02-01,1984,oLQhcP,15
1932-06-30,1533,sysFbp,2
1908-10-29,1943,rodOEe,11
1905-06-18,0988,KjZgZn,10
1948-03-28,0342,MxPZou,14
1995-04-27,0350,kCJmDF,19
2002-01-06,1609,vGywyZ,21
1937-03-02,0125,rvHzVe,18
2000-04-20,1569,IodzNl,4
2007-09-12,1001,RiArzK,13
1912-02-07,0845,RGhGel,1
1942-03-24,1731,aSZVUe,21
1906-04-27,1804,kDGSEn,24
1995-10-01,1803,UrFptG,2
1911-08-29,0547,fvWihr,16
1935-06-30,1443,hPptZa,24
1992-02-12,0141,UXPomz,4
1987-11-15,0720,diJbEg,7
1918-08-03,1666,blCnph,19
2009-06-30,0604,NbwDfm,9
1974-07-19,0474,HbqYgx,17
1991-12-20,1533,bcUDxE,3
2019-06-21,1047,GvfkkQ,9
1943-03-21,0775,HWwTBf,12
2006-10-31,1622,OSeYxL,7
2007-11-03,1985,fMyUJc,7
1980-05-30,1519,UCurQL,16
1918-10-23,1019,rReCUN,2
1970-12-25,1674,ABuYjS,11
1960-04-24,0583,vuCnxN,24
1924-01-04,1003,KUwxQZ,6
1972-08-07,1363,PwMALx,14
2008-01-03,1956,ucdYUe,7
1929-03-21,1559,dnIIZs,14
2013-06-16,1152,QuICcV,2
2012-12-16,0030,ZHQfvl,13
2016-02-25,1465,lPYirZ,10
2005-10-08,1209,TStmEd,4
1993-03-24,0778,QsRojc,12
1966-05-24,1438,RHvHaq,21
1989-10-29,1509,OgFaFP,24
1907-03-06,0094,sNzrcJ,24
1969-08-08,1314,kktrFi,9
1918-12-31,0386,ehvHkf,4
2012-10-04,0081,rhelkW,4
1991-04-08,1528,xoqctv,14
1910-11-20,1545,wVrzln,20
1925-07-02,1025,mKYVXt,21
1992-08-03,0101,TiAeLX,10
1963-03-27,1764,lYYTXc,3
1943-11-01,0027,XJFamF,19
1974-11-26,0728,bByTcU,10
2008-08-02,0677,vUbUFn,10
1959-06-05,1393,GoMNJv,20
1974-09-20,0847,IYrOOC,2
1914-06-19,0532,EVrPqd,10
1906-06-10,0995,DaHdie,8
1913-10-05,0159,bYStRe,3
1943-12-17,0456,CQWFmQ,20
2006-07-21,1180,WGwEHp,5
1910-05-07,1749,FmZrtZ,18
1994-03-18,1178,vpApkA,5
1972-01-22,0596,iGpfit,15
1947-03-04,1130,sOiUMa,16
2001-02-24,0185,fsjlJe,17
1945-01-09,1723,qZenGz,4
2001-04-30,0513,CLKbbX,11
1985-12-23,0461,TqJODJ,9
1997-05-08,1549,xOpnQs,16
1925-06-03,0231,PCpjNx,8
1919-10-31,1161,uaCjaT,11
1906-12-06,1601,EwRNui,14
2019-09-16,0693,KsjAVl,13
1939-08-30,1945,nybYzE,10
1970-10-27,1754,HWrSAn,11
1968-03-14,1350,wxYirM,23
2013-05-10,0329,LPYOfe,16
1965-04-28,0602,CoPPcD,11
1932-02-24,1468,vMVHfA,23
1949-02-24,1604,yhxUyd,6
1901-06-27,0674,ScBGzV,14
1946-09-15,1532,vgWIIF,24
1931-10-13,0312,AGyyfX,4
2015-12-08,1126,pldpKM,6
1934-07-01,1311,jcvkpp,1
1958-04-23,0648,JmxyTd,3
1904-10-27,0875,jldMhf,23
1996-08-08,0487,KYZthY,8
1943-11-26,1787,AFImLq,18
2002-05-13,0319,eIwpsJ,21
2017-08-23,1342,zNxWGr,2
1991-01-28,1180,pYDliQ,24
1902-10-28,0735,mqsjfJ,21
1942-08-22,1071,mwUvCV,18
2000-01-16,0065,iMoXpa,13
1950-03-10,1477,HqTLNJ,1
1970-01-03,0730,umUHfO,22
2012-03-01,0335,mSTSzE,16
1987-06-10,1141,VMBqON,19
