grid[0][0]
Bucket 4
Record{values={gpa=1.12, id=43-4183}, pageid=0.0}
Record{values={gpa=1.12, id=43-6416}, pageid=0.0}
Record{values={gpa=0.93, id=44-3890}, pageid=0.0}
Record{values={gpa=0.75, id=44-7502}, pageid=0.0}
Record{values={gpa=1.1, id=48-9185}, pageid=0.0}
Record{values={gpa=1.12, id=49-7369}, pageid=0.0}
grid[0][1]
Bucket 2
Record{values={gpa=1.27, id=43-2300}, pageid=0.0}
Record{values={gpa=1.47, id=43-9510}, pageid=0.0}
Record{values={gpa=1.69, id=44-0704}, pageid=0.0}
Record{values={gpa=1.48, id=44-2789}, pageid=0.0}
Record{values={gpa=1.29, id=45-3560}, pageid=0.0}
Record{values={gpa=1.54, id=45-6860}, pageid=0.0}
Record{values={gpa=1.54, id=46-8847}, pageid=0.0}
Record{values={gpa=1.27, id=46-9818}, pageid=0.0}
Record{values={gpa=1.38, id=48-6465}, pageid=0.0}
Record{values={gpa=1.63, id=49-4944}, pageid=0.0}
grid[0][2]
Bucket 8
Record{values={gpa=2.22, id=45-9915}, pageid=0.0}
Record{values={gpa=1.76, id=48-3826}, pageid=0.0}
Record{values={gpa=2.2, id=48-5921}, pageid=0.0}
Record{values={gpa=1.77, id=48-8669}, pageid=0.0}
grid[0][3]
Bucket 7
Record{values={gpa=2.5, id=43-8383}, pageid=0.0}
Record{values={gpa=2.36, id=44-5435}, pageid=0.0}
Record{values={gpa=2.29, id=46-8688}, pageid=0.0}
Record{values={gpa=2.65, id=47-1336}, pageid=0.0}
grid[0][4]
Bucket 1
Record{values={gpa=2.84, id=43-0276}, pageid=0.0}
Record{values={gpa=3.28, id=44-4720}, pageid=0.0}
Record{values={gpa=3.0, id=46-7593}, pageid=0.0}
Record{values={gpa=3.2, id=48-0835}, pageid=0.0}
Record{values={gpa=3.28, id=48-6740}, pageid=0.0}
Record{values={gpa=3.2, id=49-1589}, pageid=0.0}
Record{values={gpa=3.14, id=49-3771}, pageid=0.0}
Record{values={gpa=2.98, id=49-8888}, pageid=0.0}
grid[0][5]
Bucket 5
Record{values={gpa=3.5, id=43-6778}, pageid=0.0}
Record{values={gpa=3.53, id=44-1562}, pageid=0.0}
Record{values={gpa=3.66, id=46-2834}, pageid=0.0}
Record{values={gpa=3.59, id=46-5902}, pageid=0.0}
Record{values={gpa=3.5, id=46-7036}, pageid=0.0}
Record{values={gpa=3.42, id=47-2285}, pageid=0.0}
Record{values={gpa=3.5, id=47-5571}, pageid=0.0}
Record{values={gpa=3.79, id=49-5137}, pageid=0.0}
grid[0][6]
Bucket 3
Record{values={gpa=4.34, id=43-3542}, pageid=0.0}
Record{values={gpa=4.03, id=47-7028}, pageid=0.0}
Record{values={gpa=4.05, id=47-7573}, pageid=0.0}
Record{values={gpa=4.34, id=48-7483}, pageid=0.0}
Record{values={gpa=3.9, id=48-7504}, pageid=0.0}
Record{values={gpa=3.9, id=49-8463}, pageid=0.0}
grid[0][7]
Bucket 6
Record{values={gpa=4.82, id=43-7216}, pageid=0.0}
Record{values={gpa=4.46, id=44-9319}, pageid=0.0}
Record{values={gpa=4.59, id=45-2124}, pageid=0.0}
Record{values={gpa=4.69, id=45-7538}, pageid=0.0}
Record{values={gpa=4.52, id=46-4907}, pageid=0.0}
Record{values={gpa=4.93, id=46-8767}, pageid=0.0}
Record{values={gpa=4.84, id=47-6231}, pageid=0.0}
Record{values={gpa=4.66, id=47-9392}, pageid=0.0}
Record{values={gpa=4.71, id=48-1552}, pageid=0.0}
Record{values={gpa=4.66, id=48-2600}, pageid=0.0}
Record{values={gpa=4.45, id=49-7534}, pageid=0.0}
grid[0][8]
Bucket 9
Record{values={gpa=4.98, id=49-9626}, pageid=0.0}
grid[0][9]
grid[1][0]
Bucket 13
Record{values={gpa=1.05, id=50-3612}, pageid=0.0}
Record{values={gpa=0.98, id=50-5340}, pageid=0.0}
Record{values={gpa=1.04, id=50-7077}, pageid=0.0}
