73-3996, Mon Sep 05 00:00:00 EET 2011, oRTQvv, 0.7004, 
60-9941, Wed Jul 05 00:00:00 EEST 2000, yNuBNg, 0.7036, 
54-1668, Tue Feb 27 00:00:00 EET 2001, cIWDcA, 0.7174, 
55-6453, Sun Dec 29 00:00:00 EET 2013, nJBEOx, 0.718, 
98-9086, Tue Jul 05 00:00:00 EEST 2005, QaGpnx, 0.7395, 
89-7767, Wed Feb 17 00:00:00 EET 2010, kDKkPx, 0.7589, 
62-3174, Sun Jun 20 00:00:00 EEST 1999, zzbTZa, 0.7622, 
56-7046, Sun Mar 23 00:00:00 EET 2014, iWSFmC, 0.7634, 
48-2733, Wed Jul 26 00:00:00 EET 2017, aJUcXf, 0.7638, 
48-6740, Sun Sep 08 00:00:00 EET 2013, kUCcix, 0.7819, 
69-0874, Sun Apr 24 00:00:00 EET 2005, NNlbVE, 0.7922, 
86-5106, Fri Jun 28 00:00:00 EEST 1991, mqTdca, 0.796, 
55-5281, Mon Nov 24 00:00:00 EET 2008, unluWa, 0.7963, 
94-1728, Fri Nov 27 00:00:00 EET 2015, kMQAKp, 0.8489, 
77-8753, Thu Jun 18 00:00:00 EET 2015, wgRiQG, 0.8508, 
95-4628, Tue Feb 05 00:00:00 EET 2019, MpNNeW, 0.8533, 
51-0881, Tue Jul 03 00:00:00 EEST 1990, mEcVBt, 0.8541, 
45-1678, Fri May 21 00:00:00 EEST 2004, ynRYBg, 0.8713, 
57-6146, Mon Sep 15 00:00:00 EEST 2003, IyCBmK, 0.8794, 
48-6500, Thu Apr 11 00:00:00 EET 2013, eeIKNL, 0.8804, 
94-4710, Mon Feb 18 00:00:00 EET 2008, CmXoll, 0.8823, 
51-5077, Sat Jul 04 00:00:00 EEST 2009, FeyLuv, 0.886, 
72-4635, Wed Jun 24 00:00:00 EEST 2009, zKgrhx, 0.8913, 
82-9330, Fri Mar 28 00:00:00 EET 2008, BfaKYO, 0.892, 
80-3644, Sun Aug 27 00:00:00 EET 2017, pFPeZv, 0.896, 
76-4920, Sat Aug 19 00:00:00 EET 2017, fXXnKe, 0.9032, 
69-3558, Fri Jul 05 00:00:00 EEST 2002, QaochR, 0.9146, 
67-5003, Tue Aug 09 00:00:00 EEST 1994, RpVJUn, 0.9252, 
82-5633, Sat Jan 09 00:00:00 EET 2016, PnTwVc, 0.9332, 
75-1596, Fri Sep 21 00:00:00 EET 2018, AtKvoU, 0.9413, 
85-5937, Sat Dec 14 00:00:00 EET 1991, gdFeJx, 0.9419, 
83-3699, Sat Feb 27 00:00:00 EET 1993, SeeRKL, 0.949, 
62-8768, Sun Aug 05 00:00:00 EEST 1990, zBmUIn, 0.9523, 
57-5072, Sun Oct 05 00:00:00 EET 2003, bdaBbi, 0.9723, 
81-0228, Fri Sep 08 00:00:00 EEST 2006, eVQJFB, 0.9855, 
65-8592, Fri May 24 00:00:00 EET 2013, ZIYgHK, 1.0056, 
94-9873, Tue Aug 11 00:00:00 EET 2015, ZsNwij, 1.0065, 
90-4143, Sun Jul 19 00:00:00 EET 2020, VSWSds, 1.0122, 
77-0312, Thu Dec 07 00:00:00 EET 1995, EtTUEw, 1.0126, 
67-5435, Mon Dec 17 00:00:00 EET 2007, aKMGIn, 1.0348, 
72-6830, Mon Sep 28 00:00:00 EET 2020, KQPUTv, 1.0408, 
90-4700, Thu Apr 02 00:00:00 EET 2009, vZsrgh, 1.0549, 
59-2426, Tue Jan 02 00:00:00 EET 2007, rxqHXV, 1.0577, 
75-9228, Sun Aug 03 00:00:00 EEST 2008, qUrPxg, 1.0686, 
83-0430, Thu Sep 17 00:00:00 EEST 1992, BTgoEM, 1.0815, 
97-5116, Fri Apr 17 00:00:00 EET 2020, MVKHkO, 1.1089, 
86-8319, Wed Mar 29 00:00:00 EET 2000, wZEAIt, 1.1303, 
59-7770, Mon Oct 11 00:00:00 EET 2010, pegwpc, 1.1416, 
46-3201, Mon Oct 18 00:00:00 EET 2004, THpkgO, 1.1424, 
67-0527, Wed Aug 12 00:00:00 EEST 2009, LHXTwj, 1.1499, 
93-2502, Sun Jul 31 00:00:00 EET 2016, ADjtkG, 1.1579, 
69-2486, Sat Feb 25 00:00:00 EET 1995, IlxVRE, 1.1634, 
88-2368, Mon Nov 23 00:00:00 EET 2020, rbXhyy, 1.1695, 
50-6584, Wed Sep 19 00:00:00 EEST 1990, zVtazy, 1.1757, 
57-8697, Tue May 30 00:00:00 EEST 2006, RzhACe, 1.1816, 
59-9264, Mon May 13 00:00:00 EET 2013, bnXXkj, 1.1915, 
44-5478, Thu Dec 10 00:00:00 EET 1992, cGasQi, 1.1933, 
66-3813, Fri Dec 23 00:00:00 EET 2016, FrOUus, 1.2033, 
58-5656, Fri May 31 00:00:00 EEST 1996, bchkEm, 1.2081, 
92-6850, Tue Feb 01 00:00:00 EET 1994, GnXWvX, 1.2098, 
78-4512, Sun Jan 13 00:00:00 EET 2013, KeeRAv, 1.2122, 
72-2467, Thu May 09 00:00:00 EEST 1996, SRyTSA, 1.2135, 
81-7536, Wed Dec 28 00:00:00 EET 2005, AmKdmj, 1.2169, 
61-5737, Mon Sep 28 00:00:00 EET 2009, NHnXoC, 1.2271, 
70-6723, Tue Sep 03 00:00:00 EEST 1996, UkvbCt, 1.2436, 
66-6546, Sun Mar 30 00:00:00 EET 2003, ISWUId, 1.2532, 
80-4168, Wed Oct 16 00:00:00 EET 1991, OuQrSV, 1.2687, 
88-3935, Mon Aug 24 00:00:00 EET 2009, TCeLZL, 1.2829, 
90-2852, Tue Oct 23 00:00:00 EET 2007, BvYhbl, 1.3069, 
64-8027, Thu Dec 22 00:00:00 EET 2005, KsWIJM, 1.3114, 
61-4833, Fri May 01 00:00:00 EET 2020, RQkiho, 1.3132, 
47-5062, Sun Aug 06 00:00:00 EET 2017, vIqVvt, 1.3178, 
73-7429, Sun Aug 01 00:00:00 EEST 2004, CpgauE, 1.326, 
61-3578, Thu Feb 19 00:00:00 EET 2009, VXCKUe, 1.3295, 
